original_name,original_url,POWO_accepted,POWO_name,Names equal?,POWO_rank,POWO_url,POWO_url_full
Bupleurum ranunculoides,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2687045,TRUE,Bupleurum ranunculoides,TRUE,Species,/taxon/urn:lsid:ipni.org:names:839358-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:839358-1
Calamagrostis arundinacea,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:402396,TRUE,Calamagrostis × acutiflora,FALSE,Species,/taxon/urn:lsid:ipni.org:names:394262-1,
Calamagrostis epigejos,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:402643,TRUE,Calamagrostis epigejos,TRUE,Species,/taxon/urn:lsid:ipni.org:names:394433-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:394433-1
Calamagrostis epigejos var. fusca,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:543625,TRUE,Calamagrostis epigejos,FALSE,Species,/taxon/urn:lsid:ipni.org:names:394433-1,
Calamagrostis lanceolata var. montana,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:402901,TRUE,Calamagrostis epigejos,FALSE,Species,/taxon/urn:lsid:ipni.org:names:394433-1,
Calamagrostis montana,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:403037,TRUE,Calamagrostis arundinacea,FALSE,Species,/taxon/urn:lsid:ipni.org:names:1036939-2,
Calantica pseudobiseriata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3001947,TRUE,Calantica pseudobiseriata,TRUE,Species,/taxon/urn:lsid:ipni.org:names:77145344-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77145344-1
Calantica sphaerocephala,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3001948,TRUE,Calantica sphaerocephala,TRUE,Species,/taxon/urn:lsid:ipni.org:names:77145345-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77145345-1
Calluna vulgaris,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2692970,TRUE,Platanthera,FALSE,Genus,/taxon/urn:lsid:ipni.org:names:331266-2,
Calluna vulgaris var. albiflora,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2936915,TRUE,Calluna vulgaris,FALSE,Species,/taxon/urn:lsid:ipni.org:names:327305-1,
Campanula giesekiana,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:364684,TRUE,Campanula giesekiana,TRUE,Species,/taxon/urn:lsid:ipni.org:names:43943-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:43943-2
Campanula glomerata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:364698,TRUE,Campanula glomerata,TRUE,Species,/taxon/urn:lsid:ipni.org:names:140365-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:140365-1
Campanula glomerata fo. farinosa,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:499153,not found,not found,FALSE,not found,not found,
Campanula glomerata subsp. elliptica,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:364717,TRUE,Campanula glomerata subsp. elliptica,TRUE,Subspecies,/taxon/urn:lsid:ipni.org:names:77188776-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77188776-1
Campanula glomerata subsp. farinosa,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:364719,TRUE,Campanula glomerata subsp. farinosa,TRUE,Subspecies,/taxon/urn:lsid:ipni.org:names:77188766-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77188766-1
Campanula glomerata subsp. glomerata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:375976,TRUE,Campanula glomerata subsp. glomerata,TRUE,Subspecies,/taxon/urn:lsid:ipni.org:names:77171563-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77171563-1
Campanula glomerata var. elliptica,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:364716,TRUE,Campanula glomerata subsp. elliptica,FALSE,Subspecies,/taxon/urn:lsid:ipni.org:names:77188776-1,
Campanula glomerata var. hirta,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:477581,FALSE,Campanula glomerata var. hirta,TRUE,Variety,/taxon/urn:lsid:ipni.org:names:77266958-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77266958-1
Campanula glomerata var. longifolia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:364733,FALSE,Campanula glomerata var. longifolia,TRUE,Variety,/taxon/urn:lsid:ipni.org:names:77267777-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77267777-1
Campanula patula subsp. patula,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:375992,TRUE,Campanula patula subsp. patula,TRUE,Subspecies,/taxon/urn:lsid:ipni.org:names:77169179-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77169179-1
Campanula patula var. flaccida,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:365458,FALSE,Campanula patula var. flaccida,TRUE,Variety,/taxon/urn:lsid:ipni.org:names:365458-4,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:365458-4
Campanula persicifolia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:365512,TRUE,Campanula persicifolia,TRUE,Species,/taxon/urn:lsid:ipni.org:names:140828-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:140828-1
Campanula persicifolia subsp. persicifolia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:375993,TRUE,Campanula persicifolia subsp. persicifolia,TRUE,Subspecies,/taxon/urn:lsid:ipni.org:names:77172554-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77172554-1
